sku,product_type,name,out_of_stock_qty,use_config_min_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,associated_skus
4010635,simple,BARRA RED 1/4 (6.3mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
4010800,simple,BARRA RED 5/16 (8.0mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
4011000,simple,BARRA RED 3/8 (10.0mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
4011200,simple,BARRA RED SERRALHEIRO (12.0mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
4011250,simple,BARRA RED 1/2 (12.5mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
4011600,simple,BARRA RED 5/8 (16.0mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
4012000,simple,BARRA RED 3/4 (20.0mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
4012222,simple,BARRA RED 7/8 (22.22mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
4012500,simple,BARRA RED 1 (25.0mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
401,grouped,Barra Redonda A36,0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,"4010635=0.000000,4010800=0.000000,4011000=0.000000,4011200=0.000000,4011250=0.000000,4011600=0.000000,4012000=0.000000,4012222=0.000000,4012500=0.000000"
5010212,simple,BARRA CH 1/2 SERRALHEIRO (12.70 x 2.50mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010309,simple,BARRA CH 3/8 x 1/8 (9.52 x 3.18mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010312,simple,BARRA CH 1/2 x 1/8 (12.70 x 3.18mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010315,simple,BARRA CH 5/8 x 1/8 (15.88 x 3.18mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010319,simple,BARRA CH 3/4 x 1/8 (19.05 x 3.18mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010322,simple,BARRA CH 7/8 x 1/8 (22.23 x 3.18mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010325,simple,BARRA CH 1 x 1/8 (25.40 x 3.18mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010331,simple,BARRA CH 1.1/4 x 1/8 (31.75 x 3.18mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010338,simple,BARRA CH 1.1/2 x 1/8 (38.1 x 3.18mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010350,simple,BARRA CH 2 x 1/8 (50.8 x 3.18mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010412,simple,BARRA CH 1/2 x 3/16 (12.70 x 4.76mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010415,simple,BARRA CH 5/8 x 3/16 (15.88 x 4.76mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010419,simple,BARRA CH 3/4 x 3/16 (19.05 x 4.76mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010422,simple,BARRA CH 7/8 x 3/16 (22.23 x 4.76mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010425,simple,BARRA CH 1 x 3/16 (25.04 x 4.76mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010431,simple,BARRA CH 1.1/4 x 3/16 (31.75 x 4.76mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010438,simple,BARRA CH 1.1/2 x 3/16 (38.10 x 4.76mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010450,simple,BARRA CH 2 x 3/16 (50.80 x 4.76mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010612,simple,BARRA CH 1/2 x 1/4 (12.70 x 6.35mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010615,simple,BARRA CH 5/8 x 1/4 (15.88 x 6.35mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010619,simple,BARRA CH 3/4 x 1/4 (19.05 x 6.35mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010622,simple,BARRA CH 7/8 x 1/4 (22.23 x 6.35mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010625,simple,BARRA CH 1 x 1/4 (25.40 x 6.35mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010631,simple,BARRA CH 1.1/4 x 1/4 (31.75 x 6.35mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010638,simple,BARRA CH 1.1/2 x 1/4 (38.10 x 6.35mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010650,simple,BARRA CH 2 x 1/4 (50.80 x 06.35mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010663,simple,BARRA CH 2.1/2 x 1/4 (63.50 x 6.35mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010676,simple,BARRA CH 3 x 1/4 (76.20 x 6.35mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010699,simple,BARRA CH 4 x 1/4 (101.60 x 6.35mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010725,simple,BARRA CH 1 x 5/16 (25.04 x 7.94mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010738,simple,BARRA CH 1.1/2 x 5/16 (38.10 x 7.94mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010750,simple,BARRA CH 2 x 5/16 (50.80 x 7.94mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010763,simple,BARRA CH 2.1/2 x 5/16 (63.50 x 7.94mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010776,simple,BARRA CH 3 x 5/16 (76.20 x 7.94mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010799,simple,BARRA CH 4 x 5/16 (101.60 x 7.94mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010925,simple,BARRA CH 1 x 3/8 (25.40 x 9.52mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010938,simple,BARRA CH 1.1/2 x 3/8 (38.10 x 9.52mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010950,simple,BARRA CH 2 x 3/8 (50.80 x 9.52mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010963,simple,BARRA CH 2.1/2 x 3/8 (63.50 x 09.52mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010976,simple,BARRA CH 3 x 3/8 (76.20 x 09.52mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5010999,simple,BARRA CH 4 x 3/8 (101.60 x 9.52mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5011238,simple,BARRA CH 1.1/2 x 1/2 (12.70 x 38.10mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5011250,simple,BARRA CH 2 x 1/2 (50.80 x 12.70mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5011263,simple,BARRA CH 2.1/2 x 1/2 (12.70 x 63.50mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5011276,simple,BARRA CH 3 x 1/2 (76.20 x 12.70mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5011299,simple,BARRA CH 4 x 1/2 (101.60 x 12.70mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5011538,simple,BARRA CH 1.1/2 x 5/8 (38.10 x 15.88mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5011550,simple,BARRA CH 2 x 5/8 (50.80 x 15.88mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5011563,simple,BARRA CH 2.1/2 x 5/8 (63.50 x 15.88mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
501,grouped,Barra Chata ,0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,"5010212=0.000000,5010309=0.000000,5010312=0.000000,5010315=0.000000,5010319=0.000000,5010322=0.000000,5010325=0.000000,5010331=0.000000,5010338=0.000000,5010350=0.000000,5010412=0.000000,5010415=0.000000,5010419=0.000000,5010422=0.000000,5010425=0.000000,5010431=0.000000,5010438=0.000000,5010450=0.000000,5010612=0.000000,5010615=0.000000,5010619=0.000000,5010622=0.000000,5010625=0.000000,5010631=0.000000,5010638=0.000000,5010650=0.000000,5010663=0.000000,5010676=0.000000,5010699=0.000000,5010725=0.000000,5010738=0.000000,5010750=0.000000,5010763=0.000000,5010776=0.000000,5010799=0.000000,5010925=0.000000,5010938=0.000000,5010950=0.000000,5010963=0.000000,5010976=0.000000,5010999=0.000000,5011238=0.000000,5011250=0.000000,5011263=0.000000,5011276=0.000000,5011299=0.000000,5011538=0.000000,5011550=0.000000,5011563=0.000000"
5020215,simple,CANTONEIRA 5/8 SERRALHEIRO (15.88 x 2.5mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020219,simple,CANTONEIRA 3/4 SERRALHEIRO (19.05 x 2.5mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020312,simple,CANTONEIRA 1/2 x 1/8 (12.70 x 3.18mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020315,simple,CANTONEIRA 5/8 x 1/8 (15.88 x 3.18mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
5020319,simple,CANTONEIRA 3/4 x 1/8 (19.05 x 3.18mm),0.0000,1,10.000.000,0,1,0.0000,0,,,,,,,
